,lemma
3824,radial deviation
3827,foppery
3828,moronic
3830,proximodistal
3832,bang
3834,neden
3840,living dinosaurs in south america
3842,shithead
3844,procurers
3845,judaistic
3846,jolapee
3848,volume
3849,putz
3853,baby
3855,falsehood
3859,dolt
3866,religious extremist
3867,scum
3873,concubinial
3874,skunk
3875,trite
3877,whoring
3878,trafficker
3884,simple
3887,pro-fascist
3889,umirta
3891,felicitaries
3892,criminal
3895,🐀
3896,sex maniac
3898,whoor
3899,vandal
3900,imbecile
3904,procuress
3907,plant improvement
3908,tomfool
3909,half-caste
3912,gstieß
3913,ostrogothic
3914,homunculus
3915,comfort station
3916,cur
3917,clerical
3919,boo-boo
3921,orangeblacks
3923,dairy air
